Unnamed: 0,question,Answers
0,"Can you provide a description for 潮樂園 (北角), which is a 潮州菜?",dummy_answers_0
1,"Can you provide a description for Andō, which is a 創新菜?",dummy_answers_1
2,"Can you provide a description for Racines, which is a 法國菜?",dummy_answers_2
3,"Can you provide a description for Sushi Wadatsumi, which is a 壽司?",dummy_answers_3
4,"Can you provide a description for 麥記美食 (美嘉洋樓), which is a 街頭小吃?",dummy_answers_4
5,"Can you provide a description for L'Atelier de Joël Robuchon, which is a 法國菜?",dummy_answers_5
6,"Can you provide a description for 浙江軒, which is a 浙江菜?",dummy_answers_6
7,"Can you provide a description for 悅, which is a 粵菜?",dummy_answers_7
8,"Can you provide a description for 廚魔名人坊, which is a 粵菜?",dummy_answers_8
9,"Can you provide a description for 麥文記, which is a 麵食?",dummy_answers_9
10,"Can you provide a description for 紅磡雞蛋仔, which is a 街頭小吃?",dummy_answers_10
11,"Can you provide a description for Heimat, which is a 德國菜?",dummy_answers_11
12,"Can you provide a description for 阿純山東餃子, which is a 餃子?",dummy_answers_12
13,"Can you provide a description for 好湯好麵 (大圍), which is a 麵食?",dummy_answers_13
14,"Can you provide a description for 國金軒 (尖沙咀), which is a 粵菜?",dummy_answers_14
15,"Can you provide a description for 全記海鮮 (海傍街), which is a 海鮮?",dummy_answers_15
16,"Can you provide a description for Joyful Dessert House, which is a 街頭小吃?",dummy_answers_16
17,"Can you provide a description for 添好運 (深水埗), which is a 點心?",dummy_answers_17
18,"Can you provide a description for Épure, which is a 法國菜?",dummy_answers_18
19,"Can you provide a description for Ăn Chơi, which is a 越南菜?",dummy_answers_19
20,"Can you provide a description for 德記, which is a 潮州菜?",dummy_answers_20
21,"Can you provide a description for 石記廚房, which is a 粵菜?",dummy_answers_21
22,"Can you provide a description for 波記, which is a 燒味?",dummy_answers_22
23,"Can you provide a description for 美味廚, which is a 粵菜?",dummy_answers_23
24,"Can you provide a description for Yardbird, which is a 雞肉串燒?",dummy_answers_24
25,"Can you provide a description for 文華廳, which is a 粵菜?",dummy_answers_25
26,"Can you provide a description for 祥興記 (尖沙咀), which is a 街頭小吃?",dummy_answers_26
27,"Can you provide a description for 陸羽茶室, which is a 粵菜?",dummy_answers_27
28,"Can you provide a description for 佳佳甜品, which is a 街頭小吃?",dummy_answers_28
29,"Can you provide a description for 劉森記麵家 (福榮街), which is a 麵食?",dummy_answers_29
30,"Can you provide a description for 香宮, which is a 粵菜?",dummy_answers_30
31,"Can you provide a description for Tate, which is a 創新菜?",dummy_answers_31
32,"Can you provide a description for 萬豪金殿, which is a 粵菜?",dummy_answers_32
33,"Can you provide a description for Twist & Buckle (Tsim Sha Tsui), which is a 街頭小吃?",dummy_answers_33
34,"Can you provide a description for 鼎泰豐 (銅鑼灣), which is a 滬菜?",dummy_answers_34
35,"Can you provide a description for 利苑酒家 (灣仔), which is a 粵菜?",dummy_answers_35
36,"Can you provide a description for 壹玖捌叁, which is a 中國菜?",dummy_answers_36
37,"Can you provide a description for 竹家, which is a 日本菜?",dummy_answers_37
38,"Can you provide a description for Noi by Paulo Airaudo, which is a 意大利菜?",dummy_answers_38
39,"Can you provide a description for 港灣壹號, which is a 粵菜?",dummy_answers_39
40,"Can you provide a description for 坤記煲仔小菜 (皇后大道西), which is a 粵菜?",dummy_answers_40
41,"Can you provide a description for 海德花園, which is a 海鮮?",dummy_answers_41
